"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 4,EEE,EEE1,2,2,1,1,deo,20968963,,,Julien Gorena,deo,deo,2,2,8,6
Top 4,EEE,EEE1,3,3,2,2,MH | Coosco,20968964,,,Michael Henderson,MH | Coosco,Coosco,3,2,10,7
Top 4,EEE,EEE1,1,1,3,3,Knights | 2eZ,20968962,2eZ#7210,,Aj Pieri,Knights | 2eZ,2eZ,2,0,7,1
Top 4,EEE,EEE1,4,4,4,4,Mr Aquaman,20968965,MrAquaman#5922,,Ryan Kablik,Mr Aquaman,Mr Aquaman,1,0,3,0[]
