"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 8,GG,GG1,2,2,1,1,Jona,20912922,Jona#0562,,Jona Kim,Jona,Jona,3,3,12,8
Top 8,GG,GG1,1,1,2,2,Monarch,20912921,Monarch#7401,,Kyran Reives,G.U. | Monarch,Monarch,4,2,17,9
Top 8,GG,GG1,3,3,3,3,juliocrivera,20912923,Juliocrivera#8597,,Julio Rivera,BT | RKG | juliocrivera,juliocrivera,4,2,13,6
Top 8,GG,GG1,4,4,4,4,Beautifuldude,20912924,,,Julian Franco,Beautifuldude,Beautifuldude,3,1,8,3
