"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 4,LL,LL1,1,1,1,1,Romora,20932571,,,Austin Roberts,Romora,Romora,3,2,14,8
Top 4,LL,LL1,4,4,2,2,SKTP | Magic Pixel Mexican,20932574,,,Robert Capps,SKTP | Magic Pixel Mexican,Magic Pixel Mexican,4,3,17,10
Top 4,LL,LL1,2,2,3,3,MOTHMAN,20932572,,,Lennon Grinta,MOTHMAN,MOTHMAN,2,0,10,4
Top 4,LL,LL1,3,3,4,4,Noelbhungry,20932573,,,Noel Brown,Noelbhungry,Noelbhungry,1,0,3,0[]
