"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 8,LLL,LLL1,1,1,1,1,Big-One 2nd | Moai,20969797,,,Takahiro Kasai,Big-One 2nd | Moai,Moai,3,3,0,0
Top 8,LLL,LLL1,2,2,2,2,uncle_akkey,20969798,,,akihiro tsuzuki,uncle_akkey,uncle_akkey,4,2,0,0
Top 8,LLL,LLL1,3,3,3,3,UltraToast,20969799,,,Alexander Meeker,8BR | UltraToast,UltraToast,4,2,0,0
Top 8,LLL,LLL1,4,4,4,4,MSGK | Lunar,20969800,luna#4289,,T H,MSGK | Lunar,Lunar,3,1,0,0
