"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 8,LL,LL1,1,1,1,1,StrikeFirst | GentlemanThief,20902619,,,Avery Carey,StrikeFirst | GentlemanThief,GentlemanThief,3,3,9,8
Top 8,LL,LL1,3,3,2,2,Crazydrunk,20902621,Crazydrunk#8105,,Orvenn Lozada,StrikeFirst | Crazydrunk,Crazydrunk,4,2,14,6
Top 8,LL,LL1,2,2,3,3,Yellowtail,20902620,,,J L,Yellowtail,Yellowtail,4,2,13,6
Top 8,LL,LL1,7,7,4,4,AyuFanb0y,20902625,,,Andrew Chow,AyuFanb0y,AyuFanb0y,3,2,8,5
