"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Bracket,CAT,CAT1,2,2,1,1,rino_pk,20707379,,,TAKANORI HARADA,rino_pk,rino_pk,5,5,14,10
Bracket,CAT,CAT1,1,1,2,2,Geordi,20393233,,,Jake Bartkowiak,Geordi,Geordi,6,4,19,11
Bracket,CAT,CAT1,6,6,3,3,Kim,20615347,,,Han Soo Kim,Kim,Kim,6,4,14,8
Bracket,CAT,CAT1,5,5,4,4,CFC | MST,20711675,,,yuki abe,CFC | MST,MST,5,3,10,5
