"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 8,LLL,LLL1,4,4,1,1,AmirXL,20958301,,,Amir Amirsaleh,AmirXL,AmirXL,3,3,0,0
Top 8,LLL,LLL1,3,3,2,2,HIG | Beesu,20958300,Beesu#4392,,Hao Liu,HIG | Beesu,Beesu,4,2,2,2
Top 8,LLL,LLL1,2,2,3,3,Arlieth,20958299,,,Thomas Shin,Arlieth,Arlieth,4,2,6,4
Top 8,LLL,LLL1,6,6,4,4,lone star | face,20958304,,,Alex Ennis,lone star | face,face,3,2,2,0
