"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 8,CC,CC1,1,1,1,1,『グッドルーザー』,20930069,,,Mark Marquez,『グッドルーザー』,『グッドルーザー』,3,3,8,8
Top 8,CC,CC1,3,3,2,2,T-Loc,20930072,,,Cody Coleman,T-Loc,T-Loc,4,2,12,5
Top 8,CC,CC1,2,2,3,3,RobertRorio,20930070,,,Tubasa Ide,RobertRorio,RobertRorio,4,2,11,6
Top 8,CC,CC1,7,7,4,4,MysticSmash,20930076,,,Callum White,Vexed Gaming | MysticSmash,MysticSmash,3,2,7,4
