"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Bracket,CCC,CCC1,1,1,1,1,gpbear4,20479500,,,Naseem Baramki-Azar,gpbear4,gpbear4,4,4,6,6
Bracket,CCC,CCC1,7,7,2,2,GuileWinQuote,20586805,,,Layton Smith,GuileWinQuote,GuileWinQuote,6,4,8,6
Bracket,CCC,CCC1,10,10,3,3,STG | blaklynx,20827896,blaklynx#4314,,Tim Woodson,STG | blaklynx,blaklynx,6,4,11,6
Bracket,CCC,CCC1,4,4,4,4,MikeBoss,20889439,,,Michael Hinojosa,MikeBoss,MikeBoss,4,2,8,3
