"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 8,KKD,KKD1,1,1,1,1,VMP | Ailerus,21010195,,,Zach Marquette,VMP | Ailerus,Ailerus,3,3,11,8
Top 8,KKD,KKD1,3,3,2,2,Diar,21010198,D i a r#8204,,Jie Moc,Diar,Diar,4,2,14,8
Top 8,KKD,KKD1,2,2,3,3,HMQ | Fuzzy_Snugs,21010196,,,Dean Ampong,HMQ | Fuzzy_Snugs,Fuzzy_Snugs,4,2,10,4
Top 8,KKD,KKD1,6,6,4,4,VMP_KyleW,21010200,,,Kyle Wattula,VMP_KyleW,VMP_KyleW,3,2,7,5
