"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 8,KKD,KKD1,1,1,1,1,brenttiscool,20902587,,,Brentt Franks,brenttiscool,brenttiscool,4,3,14,9
Top 8,KKD,KKD1,2,2,2,2,Insanelykrazy,20902590,,Insanelyloko,BRANDON ALVAREZ,Insanelykrazy,Insanelykrazy,5,3,19,9
Top 8,KKD,KKD1,8,8,3,3,auto-demon,20902591,,,ANDY LIU,auto-demon,auto-demon,4,3,13,8
Top 8,KKD,KKD1,4,4,4,4,Blockbuster Jon,20902588,,,Jon Rios,Blockbuster Jon,Blockbuster Jon,3,1,8,3
