"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Bracket,GUB,GUB1,2,2,1,1,x64,20689321,x64#5153,,Matt Mooney,x64,x64,5,5,14,12
Bracket,GUB,GUB1,8,8,2,2,Docj88,20510541,,docj1988,mitch Johnson,Docj88,Docj88,6,4,18,11
Bracket,GUB,GUB1,13,13,3,3,D.Owls,20678201,,,Gerald Holt,TST | D.Owls,D.Owls,8,6,17,10
Bracket,GUB,GUB1,12,12,4,4,TheNom7,20669716,,,Sebastian Guzman,TheNom7,TheNom7,6,4,11,7
