"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 4,DDD,DDD1,1,1,1,1,ScrubSaibot,20895546,,Scrub Saibot119,Bradley Hanasyk,ScrubSaibot,ScrubSaibot,2,2,6,6
Top 4,DDD,DDD1,2,2,2,2,TxC | ViolentKain,20895547,,,Rolando Neri,TxC | ViolentKain,ViolentKain,3,1,11,3
Top 4,DDD,DDD1,4,4,3,3,royalpsycho,20895549,,,Ronald Meeks,royalpsycho,royalpsycho,2,1,8,4
Top 4,DDD,DDD1,3,3,4,4,bubba000,20895548,bubba000#3607,,Joshua Lopez,bubba000,bubba000,1,0,3,1[]
