"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Bracket,ABK,ABK1,14,14,1,1,Mibeador,20541054,,,Brandon Scott,Mibeador,Mibeador,5,5,12,12
Bracket,ABK,ABK1,12,12,2,2,RobertRorio,20577265,,,Tubasa Ide,RobertRorio,RobertRorio,8,6,19,12
Bracket,ABK,ABK1,13,13,3,3,lark,20559058,,,Alex Lam,lark,lark,5,3,12,5
Bracket,ABK,ABK1,5,5,4,4,bgenio,20875459,bgenio#7490,,Ben O,bgenio,bgenio,7,5,14,9
