"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 4 Stream Finals,III,III1,1,1,1,1,Coates | Bas,20889802,,,Ryo Yoshida,Coates | Bas,Bas,2,2,0,0
Top 4 Stream Finals,III,III1,2,2,2,2,Strike First | DR.B GALAXY B,20889803,,,Brandon Chaney,Strike First | DR.B GALAXY B,DR.B GALAXY B,3,1,0,0
Top 4 Stream Finals,III,III1,4,4,3,3,#CvS1Revival | umthrfkr,20889805,umthrfkr#2832,,Pat Van Fucking Pelt,#CvS1Revival | umthrfkr,umthrfkr,2,1,0,0
Top 4 Stream Finals,III,III1,3,3,4,4,kilomax,20889804,,,saul sanchez,kilomax,kilomax,1,0,0,0[]
