"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Bracket,HHH,HHH1,2,2,1,1,じたん(Zidane),20824067,,,Hi Ka,じたん(Zidane),じたん(Zidane),7,6,17,14
Bracket,HHH,HHH1,4,4,2,2,pikixu,20733446,,,kokuryo masato,pikixu,pikixu,5,3,15,8
Bracket,HHH,HHH1,3,3,3,3,KluddWolf,20254563,KluddWolf#0816,,Jake Landis,KluddWolf,KluddWolf,4,2,10,3
Bracket,HHH,HHH1,1,1,4,4,HitBox| | TrophyClub,20889678,,,Joshua Luera,HitBox| | TrophyClub,TrophyClub,4,2,7,2
