"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 4,DDD,DDD1,1,1,1,1,Tyme2Dul,20968937,,,Abdul-med Bangura,HW | Tyme2Dul,Tyme2Dul,2,2,7,6
Top 4,DDD,DDD1,2,2,2,2,LAGR | Carnitas,20968938,Julian Carmona (Carnitas)#3797,,Julian Carmona,LAGR | Carnitas,Carnitas,3,1,11,4
Top 4,DDD,DDD1,4,4,3,3,Roman22s,20968940,Roman22s#2837,TVIXarbitrge416,Roman Gilbert,Roman22s,Roman22s,2,1,7,4
Top 4,DDD,DDD1,3,3,4,4,VenenoFGC,20968939,VenenoFGC#1289,VenenoFGC,Fernando Narvaez,VenenoFGC,VenenoFGC,1,0,3,0[]
