"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 8,,1,1,1,1,1,Kaelis,21173814,Kaelis#0001,,Jamaal Pogue,Kaelis,Kaelis,3,3,10,8
Top 8,,1,3,3,2,2,S-men | ChairGTables,21173816,ChairGTables#9958,,Joriel Alves,S-men | ChairGTables,ChairGTables,4,2,13,6
Top 8,,1,4,4,3,3,LOKKY,21173817,,,Cesar Alejandro Ortiz Velarde,PRK | LOKKY,LOKKY,4,2,11,6
Top 8,,1,5,5,4,4,Micaiah,21173820,Micaiah#0856,,Mike Rodriguez,Micaiah,Micaiah,3,2,8,4
