"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 4,CCC,CCC1,2,2,1,1,Son_Dula,20908191,,,tyrone pinckney,14K | Son_Dula,Son_Dula,2,2,8,6
Top 4,CCC,CCC1,1,1,2,2,fibonacci,20908190,,,Taye Walker,fibonacci,fibonacci,3,1,11,5
Top 4,CCC,CCC1,4,4,3,3,BigBadWolfMN,20908193,,,Ruben Adan,BigBadWolfMN,BigBadWolfMN,2,1,5,2
Top 4,CCC,CCC1,3,3,4,4,Geordi,20908192,,,Jake Bartkowiak,Geordi,Geordi,1,0,2,0[]
