"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 4,KKD,KKD1,2,2,1,1,pikixu,20968915,,,kokuryo masato,pikixu,pikixu,4,3,16,11
Top 4,KKD,KKD1,1,1,2,2,feil,20968914,feil#0591,,SEKINO MAKOTO,feil,feil,3,1,13,5
Top 4,KKD,KKD1,4,4,3,3,Mibeador,20968917,,,Brandon Scott,Mibeador,Mibeador,2,1,6,2
Top 4,KKD,KKD1,3,3,4,4,JD,20968916,,,Jeff Dion,JD,JD,1,0,3,1[]
