"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 8,FX,FX1,1,1,1,1,Jing,20949583,,,啓吾 高尾,Jing,Jing,5,4,14,11
Top 8,FX,FX1,2,2,2,2,Tsuntenshi,20949584,,,Cary Cruz,Play Trails | Tsuntenshi,Tsuntenshi,4,2,12,5
Top 8,FX,FX1,3,3,3,3,MSGK | Lunar,20949586,luna#4289,,T H,MSGK | Lunar,Lunar,4,2,10,5
Top 8,FX,FX1,4,4,4,4,100% OJ | CrippledRoach,20949585,CrippledRoach#9562,,Léon Lombardo,100% OJ | CrippledRoach,CrippledRoach,3,1,6,2
