"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Bracket,STR,STR1,4,4,1,1,ChoiBoy,20716406,,,John Choi,ChoiBoy,ChoiBoy,8,7,30,21
Bracket,STR,STR1,1,1,2,2,VERSION,20692772,,,WATANABE KOUYA,VERSION,VERSION,6,4,23,15
Bracket,STR,STR1,3,3,3,3,Coates | Bas,20692158,,,Ryo Yoshida,Coates | Bas,Bas,5,3,21,13
Bracket,STR,STR1,2,2,4,4,Kayaman,20811153,,,TAISUKE KAYAMA,Kayaman,Kayaman,5,3,18,10
