"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 8,MMM,MMM1,1,1,1,1,EMGG | Masoma,20896968,,,Damien Fullbright,EMGG | Masoma,Masoma,4,3,13,10
Top 8,MMM,MMM1,6,6,2,2,Mom<3 | ScrawtVermillion,20896973,,,Jose Ballestero,Mom<3 | ScrawtVermillion,ScrawtVermillion,6,5,19,12
Top 8,MMM,MMM1,2,2,3,3,GcYoshi13,20896969,,,Jason Wang,GcYoshi13,GcYoshi13,3,1,10,3
Top 8,MMM,MMM1,8,8,4,4,MysticSmash,20896974,,,Callum White,Vexed Gaming | MysticSmash,MysticSmash,3,2,6,4
