"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Top 4 On Stream,KK,KK1,2,2,1,1,DK Express,20973040,,,Darrell Kim,DK Express,DK Express,2,2,0,0
Top 4 On Stream,KK,KK1,1,1,2,2,CM | Khaos,20973039,,,Kenneth Villalobos,CM | Khaos,Khaos,3,1,0,0
Top 4 On Stream,KK,KK1,4,4,3,3,LazyReaper808,20973042,,,Jay Watanabe,LazyReaper808,LazyReaper808,2,1,0,0
Top 4 On Stream,KK,KK1,3,3,4,4,The Baba Yaga,20973041,,,Amir Zanjani,The Baba Yaga,The Baba Yaga,1,0,0,0[]
