"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Bracket,CFB,CFB1,3,3,1,1,Kim,20615348,,,Han Soo Kim,Kim,Kim,5,5,15,12
Bracket,CFB,CFB1,1,1,2,2,rino_pk,20707380,,,TAKANORI HARADA,rino_pk,rino_pk,6,4,18,12
Bracket,CFB,CFB1,2,2,3,3,silentblackcat,20791421,silentblackcat#5689,,Lily Marcoux,CallMe | silentblackcat,silentblackcat,6,4,14,8
Bracket,CFB,CFB1,5,5,4,4,CFC | MST,20711676,,,yuki abe,CFC | MST,MST,5,3,9,4
