"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Bracket,HHH,HHH1,1,1,1,1,XiaoHeyTW,21307010,,,Chen SUI YANG,XiaoHeyTW,XiaoHeyTW,3,3,9,9
Bracket,HHH,HHH1,3,3,2,2,Chueko,21307032,,,Octavio Mendoza,Chueko,Chueko,4,2,13,6
Bracket,HHH,HHH1,2,2,3,3,AndyOCR,21307002,andyocr#3829,,ANDY Huynh,AndyOCR,AndyOCR,3,1,10,4
Bracket,HHH,HHH1,4,4,4,4,fernychs171,21307025,,,fernando juarez,fernychs171,fernychs171,2,0,6,0[]
