"Phase","Wave","Pool","Pool Seed","Phase Seed","Pool Placement","Event Placement","Entrant","Seed ID","Discord Username","Xbox Username","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Bracket,STW,STW1,2,2,1,1,ChoiBoy,20716409,,,John Choi,ChoiBoy,ChoiBoy,6,6,11,11
Bracket,STW,STW1,3,3,2,2,Coates | Bas,20692161,,,Ryo Yoshida,Coates | Bas,Bas,8,6,11,8
Bracket,STW,STW1,5,5,3,3,Veri7as,20499328,Veri7as#5550,,Derek Marsi,Veri7as,Veri7as,6,4,11,8
Bracket,STW,STW1,7,7,4,4,SlamTown,20525832,,,Jobey Burgoon,PovertyFiasco | SlamTown,SlamTown,7,5,13,10
